,start,end,move
0,75676,77235,lunge
1,83144,84704,lunge
2,90038,91597,lunge
3,95864,97423,lunge
4,100542,102103,lunge
5,105633,107193,lunge
6,109902,111463,lunge
7,122877,124437,lunge
8,130268,130678,fleche
9,136591,136920,fleche
10,145543,145953,fleche
11,149074,149485,fleche
12,166976,168536,lunge
13,171574,173133,lunge
14,178307,179866,lunge
15,181700,181700,lunge
16,188242,189802,lunge
17,191937,193498,lunge
18,193005,194565,lunge
19,203514,205075,fleche
20,209509,209920,fleche
21,216079,216489,fleche
22,227657,228068,fleche
23,235211,235540,fleche
24,241534,241863,fleche
25,246462,248022,lunge
26,249335,250896,lunge
27,267155,267811,lunge
28,277008,278568,lunge
29,283741,285301,lunge
30,302546,302957,fleche
31,308459,308788,fleche
32,321351,322912,lunge
33,331206,331535,fleche
34,336216,336544,fleche
